                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.81367,                 1.2617,                 1.2102,                0.68649,                0.66667,                0.85215,                0.60885,                  1.683,                 1.3497,                  1.385,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                0.75921,                 1.3217,                 1.3321,                0.67037,                0.69309,                0.85247,                0.60733,                 1.6696,                  1.382,                 1.3822,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.0525,                  1.247,                 1.3073,                0.67037,                0.69309,                0.85247,                0.60733,                 1.6696,                  1.382,                 1.3822,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.88893,                  2.148,                  1.302,                0.66477,                    0.7,                0.85257,                0.59108,                 1.6813,                 1.4204,                 1.3889,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.96017,                 1.4758,                 1.2006,                0.66477,                    0.7,                0.85257,                0.59108,                 1.6813,                 1.4204,                 1.3889,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.78024,                 1.1175,                 1.1754,                0.68504,                0.69595,                0.85231,                0.58381,                 1.6531,                 1.4546,                 1.3755,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.45618,                0.70644,                0.96851,                0.68504,                0.69595,                0.85231,                0.58381,                 1.6531,                 1.4546,                 1.3755,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.64252,                0.93297,                 1.0178,                0.68172,                 0.6911,                0.85236,                0.55712,                 1.6291,                 1.4788,                  1.368,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.79393,                0.83408,                 1.1648,                0.68172,                 0.6911,                0.85236,                0.55712,                 1.6291,                 1.4788,                  1.368,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.76044,                0.93105,                 1.0639,                0.67766,                0.67672,                0.76921,                0.47407,                 1.6046,                 1.4931,                 1.3622,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 0.8725,                 1.8714,                 1.2775,                0.67766,                0.67672,                0.76921,                0.47407,                 1.6046,                 1.4931,                 1.3622,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.84326,                 1.1979,                 1.2244,                0.66245,                0.67223,                0.76248,                0.47254,                  1.642,                 1.5401,                 1.3936,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 1.0675,                0.99454,                 1.4484,                0.66245,                0.67223,                0.76248,                0.47254,                  1.642,                 1.5401,                 1.3936,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.61667,                0.92339,                 0.9937,                0.68023,                0.66616,                0.73305,                0.44743,                 1.6196,                  1.567,                 1.3758,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.82033,                 1.0002,                 1.2692,                0.68023,                0.66616,                0.73305,                0.44743,                 1.6196,                  1.567,                 1.3758,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.88498,                 1.4694,                  1.363,                0.69026,                   0.65,                0.71095,                0.42752,                 1.6466,                 1.6099,                 1.3991,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.79286,                 1.6469,                 1.1729,                0.69026,                   0.65,                0.71095,                0.42752,                 1.6466,                 1.6099,                 1.3991,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.67431,                 0.7235,                 1.2474,                0.64476,                0.67764,                0.69854,                0.40823,                 1.6457,                 1.6328,                 1.3988,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.80795,                 0.8265,                 1.2999,                0.64476,                0.67764,                0.69854,                0.40823,                 1.6457,                 1.6328,                 1.3988,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.85704,                0.83565,                 1.1545,                0.65442,                  0.682,                0.69463,                0.40443,                 1.6181,                 1.6376,                 1.3909,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 0.9886,                0.99112,                 1.3647,                0.65442,                  0.682,                0.69463,                0.40443,                 1.6181,                 1.6376,                 1.3909,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.64045,                0.69508,                 1.1788,                0.65442,                  0.682,                0.69463,                0.40443,                 1.6181,                 1.6376,                 1.3909,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 0.7751,                0.89209,                 1.2184,                0.68609,                 0.6779,                0.69327,                0.41105,                 1.6332,                 1.6837,                 1.4044,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.79747,                0.93828,                 1.1196,                0.68609,                 0.6779,                0.69327,                0.41105,                 1.6332,                 1.6837,                 1.4044,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                   1.12,                 1.4492,                  1.591,                0.68609,                 0.6779,                0.69327,                0.41105,                 1.6332,                 1.6837,                 1.4044,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.94257,                 1.5028,                 1.3686,                0.72118,                    0.5,                0.69041,                0.40071,                 1.6518,                  1.712,                 1.4152,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.86748,                 1.4696,                 1.2697,                0.72118,                    0.5,                0.69041,                0.40071,                 1.6518,                  1.712,                 1.4152,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.79469,                0.84995,                 1.1596,                0.72118,                    0.5,                0.69041,                0.40071,                 1.6518,                  1.712,                 1.4152,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.95265,                0.80536,                 1.5324,                0.82632,                0.48857,                0.68022,                0.39147,                 1.6839,                 1.7823,                 1.4366,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.63553,                0.67542,                 1.0631,                0.82632,                0.48857,                0.68022,                0.39147,                 1.6839,                 1.7823,                 1.4366,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.71128,                0.91185,                 1.0491,                0.82632,                0.48857,                0.68022,                0.39147,                 1.6839,                 1.7823,                 1.4366,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.76948,                0.83225,                 1.1517,                0.82846,                0.48837,                0.67858,                0.38786,                 1.6776,                 1.8275,                 1.4387,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.62881,                0.65453,                  1.067,                0.82846,                0.48837,                0.67858,                0.38786,                 1.6776,                 1.8275,                 1.4387,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.66746,                0.66317,                 1.2227,                0.82846,                0.48837,                0.67858,                0.38786,                 1.6776,                 1.8275,                 1.4387,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.67838,                0.92731,                 1.0777,                0.83773,                0.48796,                0.59497,                0.33239,                 1.6667,                 1.9065,                 1.4359,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.73703,                 1.0989,                 1.0989,                0.83773,                0.48796,                0.59497,                0.33239,                 1.6667,                 1.9065,                 1.4359,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.0674,                 1.7993,                 1.4253,                0.83773,                0.48796,                0.59497,                0.33239,                 1.6667,                 1.9065,                 1.4359,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.63136,                 1.0958,                 1.1246,                0.85518,                0.47457,                0.55662,                0.28383,                  1.728,                  1.957,                 1.4442,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.98022,                0.86609,                 1.4289,                0.85518,                0.47457,                0.55662,                0.28383,                  1.728,                  1.957,                 1.4442,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                0.96198,                 1.2992,                 1.3191,                0.85518,                0.47457,                0.55662,                0.28383,                  1.728,                  1.957,                 1.4442,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.59925,                0.64695,                  1.077,                0.84896,                0.46095,                0.57117,                0.27777,                 1.7261,                 1.9913,                 1.4475,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.69128,                0.92611,                 1.0532,                0.84896,                0.46095,                0.57117,                0.27777,                 1.7261,                 1.9913,                 1.4475,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 0.7203,                0.59199,                  1.217,                0.84896,                0.46095,                0.57117,                0.27777,                 1.7261,                 1.9913,                 1.4475,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.74375,                0.55899,                 1.1372,                0.84451,                0.45701,                 0.5992,                0.28225,                 1.7001,                  1.977,                 1.4382,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.63705,                0.74254,                 1.1345,                0.84451,                0.45701,                 0.5992,                0.28225,                 1.7001,                  1.977,                 1.4382,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.69098,                0.66486,                 1.1161,                0.84451,                0.45701,                 0.5992,                0.28225,                 1.7001,                  1.977,                 1.4382,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 0.8748,                  1.025,                 1.1901,                0.84495,                0.45268,                0.59995,                0.27061,                 1.7333,                  1.999,                 1.4544,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.59586,                0.78878,                 1.0953,                0.84495,                0.45268,                0.59995,                0.27061,                 1.7333,                  1.999,                 1.4544,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.68418,                0.70939,                 1.1535,                0.84495,                0.45268,                0.59995,                0.27061,                 1.7333,                  1.999,                 1.4544,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.51313,                0.50385,                0.97426,                0.84575,                0.45777,                0.55702,                0.26558,                 1.7295,                  2.034,                 1.4609,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.79568,                0.67679,                 1.1354,                0.84575,                0.45777,                0.55702,                0.26558,                 1.7295,                  2.034,                 1.4609,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.76812,                 0.8314,                 1.1915,                0.84575,                0.45777,                0.55702,                0.26558,                 1.7295,                  2.034,                 1.4609,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                0.79037,                0.57052,                 1.2075,                0.84821,                0.48485,                 0.5992,                0.27428,                  1.741,                 2.0682,                 1.4642,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.59394,                0.76532,                 1.1191,                0.84821,                0.48485,                 0.5992,                0.27428,                  1.741,                 2.0682,                 1.4642,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.73825,                0.65352,                 1.0985,                0.84821,                0.48485,                 0.5992,                0.27428,                  1.741,                 2.0682,                 1.4642,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.76759,                0.79811,                 1.0555,                0.84821,                0.48485,                 0.5992,                0.27428,                  1.741,                 2.0682,                 1.4642,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.88217,                0.90967,                 1.4211,                0.84857,                0.47805,                0.57143,                0.27394,                 1.7617,                 2.0934,                  1.471,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                0.94748,                 0.9626,                 1.4484,                0.84857,                0.47805,                0.57143,                0.27394,                 1.7617,                 2.0934,                  1.471,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.67511,                0.62448,                 1.0262,                0.84857,                0.47805,                0.57143,                0.27394,                 1.7617,                 2.0934,                  1.471,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.46145,                0.51623,                0.89095,                0.84857,                0.47805,                0.57143,                0.27394,                 1.7617,                 2.0934,                  1.471,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.69621,                0.69028,                0.99117,                0.84302,                 0.4696,                0.55667,                0.29646,                 1.6935,                 2.0029,                 1.4163,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.48038,                0.46553,                0.98962,                0.84302,                 0.4696,                0.55667,                0.29646,                 1.6935,                 2.0029,                 1.4163,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.54795,                0.46318,                0.88716,                0.84302,                 0.4696,                0.55667,                0.29646,                 1.6935,                 2.0029,                 1.4163,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.44543,                0.44847,                0.90313,                0.84302,                 0.4696,                0.55667,                0.29646,                 1.6935,                 2.0029,                 1.4163,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.44595,                0.50871,                0.96389,                0.84407,                0.46667,                0.55746,                0.29977,                 1.6789,                 1.9321,                 1.4116,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.68277,                0.63458,                 1.0346,                0.84407,                0.46667,                0.55746,                0.29977,                 1.6789,                 1.9321,                 1.4116,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.51954,                0.49462,                0.91189,                0.84407,                0.46667,                0.55746,                0.29977,                 1.6789,                 1.9321,                 1.4116,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 0.4771,                0.47219,                0.90958,                0.84407,                0.46667,                0.55746,                0.29977,                 1.6789,                 1.9321,                 1.4116,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.55388,                0.51183,                0.99598,                0.83398,                0.46667,                0.57996,                0.33058,                 1.6797,                 1.7784,                  1.412,             2.3444e-06,             2.3444e-06,             2.3444e-06
